phase	dataset	seed	status	start	end	duration_sec	log	results_json	params
clip_visual_only	miniimagenet	8	OK	2026-05-10 13:19:16 +06	2026-05-10 13:21:28 +06	132	experiments/clip_dino_only_20260510-100604/logs/clip_visual_only_miniimagenet_seed8.log	experiments/clip_dino_only_20260510-100604/miniimagenet/bimc/seed8_20260510-131918/results.json	branch=clip_visual_only,beta=0,ensemble=false,vision_calibration=false
dino_visual_only	miniimagenet	8	OK	2026-05-10 13:21:28 +06	2026-05-10 13:29:31 +06	483	experiments/clip_dino_only_20260510-100604/logs/dino_visual_only_miniimagenet_seed8.log	experiments/clip_dino_only_20260510-100604/miniimagenet/bimc_dino_fusion/seed8_20260510-132132/results.json	branch=dino_visual_only,beta=0,omega=1,ensemble=false,vision_calibration=false
clip_visual_only	cub200	8	OK	2026-05-10 13:29:31 +06	2026-05-10 13:30:50 +06	79	experiments/clip_dino_only_20260510-100604/logs/clip_visual_only_cub200_seed8.log	experiments/clip_dino_only_20260510-100604/cub200/bimc/seed8_20260510-132933/results.json	branch=clip_visual_only,beta=0,ensemble=false,vision_calibration=false
dino_visual_only	cub200	8	OK	2026-05-10 13:30:50 +06	2026-05-10 13:35:10 +06	260	experiments/clip_dino_only_20260510-100604/logs/dino_visual_only_cub200_seed8.log	experiments/clip_dino_only_20260510-100604/cub200/bimc_dino_fusion/seed8_20260510-133053/results.json	branch=dino_visual_only,beta=0,omega=1,ensemble=false,vision_calibration=false
clip_visual_only	CIFAR100	9	OK	2026-05-10 13:35:10 +06	2026-05-10 13:37:20 +06	130	experiments/clip_dino_only_20260510-100604/logs/clip_visual_only_CIFAR100_seed9.log	experiments/clip_dino_only_20260510-100604/CIFAR100/bimc/seed9_20260510-133513/results.json	branch=clip_visual_only,beta=0,ensemble=false,vision_calibration=false
dino_visual_only	CIFAR100	9	OK	2026-05-10 13:37:21 +06	2026-05-10 13:45:21 +06	480	experiments/clip_dino_only_20260510-100604/logs/dino_visual_only_CIFAR100_seed9.log	experiments/clip_dino_only_20260510-100604/CIFAR100/bimc_dino_fusion/seed9_20260510-133724/results.json	branch=dino_visual_only,beta=0,omega=1,ensemble=false,vision_calibration=false
clip_visual_only	miniimagenet	9	OK	2026-05-10 13:45:21 +06	2026-05-10 13:47:34 +06	133	experiments/clip_dino_only_20260510-100604/logs/clip_visual_only_miniimagenet_seed9.log	experiments/clip_dino_only_20260510-100604/miniimagenet/bimc/seed9_20260510-134523/results.json	branch=clip_visual_only,beta=0,ensemble=false,vision_calibration=false
dino_visual_only	miniimagenet	9	OK	2026-05-10 13:47:34 +06	2026-05-10 13:55:36 +06	482	experiments/clip_dino_only_20260510-100604/logs/dino_visual_only_miniimagenet_seed9.log	experiments/clip_dino_only_20260510-100604/miniimagenet/bimc_dino_fusion/seed9_20260510-134737/results.json	branch=dino_visual_only,beta=0,omega=1,ensemble=false,vision_calibration=false
clip_visual_only	cub200	9	OK	2026-05-10 13:55:36 +06	2026-05-10 13:56:56 +06	80	experiments/clip_dino_only_20260510-100604/logs/clip_visual_only_cub200_seed9.log	experiments/clip_dino_only_20260510-100604/cub200/bimc/seed9_20260510-135538/results.json	branch=clip_visual_only,beta=0,ensemble=false,vision_calibration=false
dino_visual_only	cub200	9	OK	2026-05-10 13:56:56 +06	2026-05-10 14:01:16 +06	260	experiments/clip_dino_only_20260510-100604/logs/dino_visual_only_cub200_seed9.log	experiments/clip_dino_only_20260510-100604/cub200/bimc_dino_fusion/seed9_20260510-135659/results.json	branch=dino_visual_only,beta=0,omega=1,ensemble=false,vision_calibration=false
clip_visual_only	CIFAR100	10	OK	2026-05-10 14:01:16 +06	2026-05-10 14:03:26 +06	130	experiments/clip_dino_only_20260510-100604/logs/clip_visual_only_CIFAR100_seed10.log	experiments/clip_dino_only_20260510-100604/CIFAR100/bimc/seed10_20260510-140119/results.json	branch=clip_visual_only,beta=0,ensemble=false,vision_calibration=false
dino_visual_only	CIFAR100	10	OK	2026-05-10 14:03:26 +06	2026-05-10 14:11:28 +06	482	experiments/clip_dino_only_20260510-100604/logs/dino_visual_only_CIFAR100_seed10.log	experiments/clip_dino_only_20260510-100604/CIFAR100/bimc_dino_fusion/seed10_20260510-140330/results.json	branch=dino_visual_only,beta=0,omega=1,ensemble=false,vision_calibration=false
clip_visual_only	miniimagenet	10	OK	2026-05-10 14:11:28 +06	2026-05-10 14:13:40 +06	132	experiments/clip_dino_only_20260510-100604/logs/clip_visual_only_miniimagenet_seed10.log	experiments/clip_dino_only_20260510-100604/miniimagenet/bimc/seed10_20260510-141131/results.json	branch=clip_visual_only,beta=0,ensemble=false,vision_calibration=false
dino_visual_only	miniimagenet	10	OK	2026-05-10 14:13:40 +06	2026-05-10 14:21:44 +06	484	experiments/clip_dino_only_20260510-100604/logs/dino_visual_only_miniimagenet_seed10.log	experiments/clip_dino_only_20260510-100604/miniimagenet/bimc_dino_fusion/seed10_20260510-141343/results.json	branch=dino_visual_only,beta=0,omega=1,ensemble=false,vision_calibration=false
clip_visual_only	cub200	10	OK	2026-05-10 14:21:44 +06	2026-05-10 14:23:03 +06	79	experiments/clip_dino_only_20260510-100604/logs/clip_visual_only_cub200_seed10.log	experiments/clip_dino_only_20260510-100604/cub200/bimc/seed10_20260510-142146/results.json	branch=clip_visual_only,beta=0,ensemble=false,vision_calibration=false
dino_visual_only	cub200	10	OK	2026-05-10 14:23:03 +06	2026-05-10 14:27:24 +06	261	experiments/clip_dino_only_20260510-100604/logs/dino_visual_only_cub200_seed10.log	experiments/clip_dino_only_20260510-100604/cub200/bimc_dino_fusion/seed10_20260510-142306/results.json	branch=dino_visual_only,beta=0,omega=1,ensemble=false,vision_calibration=false
clip_visual_only	CIFAR100	11	OK	2026-05-10 14:27:24 +06	2026-05-10 14:29:35 +06	131	experiments/clip_dino_only_20260510-100604/logs/clip_visual_only_CIFAR100_seed11.log	experiments/clip_dino_only_20260510-100604/CIFAR100/bimc/seed11_20260510-142727/results.json	branch=clip_visual_only,beta=0,ensemble=false,vision_calibration=false
dino_visual_only	CIFAR100	11	OK	2026-05-10 14:29:35 +06	2026-05-10 14:37:36 +06	481	experiments/clip_dino_only_20260510-100604/logs/dino_visual_only_CIFAR100_seed11.log	experiments/clip_dino_only_20260510-100604/CIFAR100/bimc_dino_fusion/seed11_20260510-142939/results.json	branch=dino_visual_only,beta=0,omega=1,ensemble=false,vision_calibration=false
clip_visual_only	miniimagenet	11	OK	2026-05-10 14:37:36 +06	2026-05-10 14:39:48 +06	132	experiments/clip_dino_only_20260510-100604/logs/clip_visual_only_miniimagenet_seed11.log	experiments/clip_dino_only_20260510-100604/miniimagenet/bimc/seed11_20260510-143739/results.json	branch=clip_visual_only,beta=0,ensemble=false,vision_calibration=false
dino_visual_only	miniimagenet	11	OK	2026-05-10 14:39:48 +06	2026-05-10 14:47:52 +06	484	experiments/clip_dino_only_20260510-100604/logs/dino_visual_only_miniimagenet_seed11.log	experiments/clip_dino_only_20260510-100604/miniimagenet/bimc_dino_fusion/seed11_20260510-143951/results.json	branch=dino_visual_only,beta=0,omega=1,ensemble=false,vision_calibration=false
clip_visual_only	cub200	11	OK	2026-05-10 14:47:52 +06	2026-05-10 14:49:12 +06	80	experiments/clip_dino_only_20260510-100604/logs/clip_visual_only_cub200_seed11.log	experiments/clip_dino_only_20260510-100604/cub200/bimc/seed11_20260510-144755/results.json	branch=clip_visual_only,beta=0,ensemble=false,vision_calibration=false
dino_visual_only	cub200	11	OK	2026-05-10 14:49:12 +06	2026-05-10 14:53:33 +06	261	experiments/clip_dino_only_20260510-100604/logs/dino_visual_only_cub200_seed11.log	experiments/clip_dino_only_20260510-100604/cub200/bimc_dino_fusion/seed11_20260510-144915/results.json	branch=dino_visual_only,beta=0,omega=1,ensemble=false,vision_calibration=false
clip_visual_only	CIFAR100	12	OK	2026-05-10 14:53:33 +06	2026-05-10 14:55:44 +06	131	experiments/clip_dino_only_20260510-100604/logs/clip_visual_only_CIFAR100_seed12.log	experiments/clip_dino_only_20260510-100604/CIFAR100/bimc/seed12_20260510-145336/results.json	branch=clip_visual_only,beta=0,ensemble=false,vision_calibration=false
dino_visual_only	CIFAR100	12	OK	2026-05-10 14:55:44 +06	2026-05-10 15:03:47 +06	483	experiments/clip_dino_only_20260510-100604/logs/dino_visual_only_CIFAR100_seed12.log	experiments/clip_dino_only_20260510-100604/CIFAR100/bimc_dino_fusion/seed12_20260510-145548/results.json	branch=dino_visual_only,beta=0,omega=1,ensemble=false,vision_calibration=false
clip_visual_only	miniimagenet	12	OK	2026-05-10 15:03:47 +06	2026-05-10 15:05:58 +06	131	experiments/clip_dino_only_20260510-100604/logs/clip_visual_only_miniimagenet_seed12.log	experiments/clip_dino_only_20260510-100604/miniimagenet/bimc/seed12_20260510-150349/results.json	branch=clip_visual_only,beta=0,ensemble=false,vision_calibration=false
dino_visual_only	miniimagenet	12	OK	2026-05-10 15:05:58 +06	2026-05-10 15:14:03 +06	485	experiments/clip_dino_only_20260510-100604/logs/dino_visual_only_miniimagenet_seed12.log	experiments/clip_dino_only_20260510-100604/miniimagenet/bimc_dino_fusion/seed12_20260510-150601/results.json	branch=dino_visual_only,beta=0,omega=1,ensemble=false,vision_calibration=false
clip_visual_only	cub200	12	OK	2026-05-10 15:14:03 +06	2026-05-10 15:15:22 +06	79	experiments/clip_dino_only_20260510-100604/logs/clip_visual_only_cub200_seed12.log	experiments/clip_dino_only_20260510-100604/cub200/bimc/seed12_20260510-151405/results.json	branch=clip_visual_only,beta=0,ensemble=false,vision_calibration=false
dino_visual_only	cub200	12	OK	2026-05-10 15:15:22 +06	2026-05-10 15:19:43 +06	261	experiments/clip_dino_only_20260510-100604/logs/dino_visual_only_cub200_seed12.log	experiments/clip_dino_only_20260510-100604/cub200/bimc_dino_fusion/seed12_20260510-151525/results.json	branch=dino_visual_only,beta=0,omega=1,ensemble=false,vision_calibration=false
