eval_session,class_id,class_name,intro_session,query_count,accuracy
4,6,bee,0,100,91.0
4,7,beetle,0,100,80.0
4,8,bicycle,0,100,96.0
4,9,bottle,0,100,97.0
4,10,bowl,0,100,71.0
4,11,boy,0,100,80.0
4,12,bridge,0,100,88.0
4,13,bus,0,100,89.0
4,14,butterfly,0,100,87.0
4,15,camel,0,100,96.0
4,16,can,0,100,91.0
4,17,castle,0,100,90.0
4,18,caterpillar,0,100,84.0
4,19,cattle,0,100,94.0
4,20,chair,0,100,93.0
4,21,chimpanzee,0,100,100.0
4,22,clock,0,100,95.0
4,23,cloud,0,100,86.0
4,24,cockroach,0,100,94.0
4,25,couch,0,100,81.0
4,26,crab,0,100,86.0
4,27,crocodile,0,100,81.0
4,28,cup,0,100,90.0
4,29,dinosaur,0,100,94.0
4,30,dolphin,0,100,94.0
4,31,elephant,0,100,97.0
4,32,flatfish,0,100,88.0
4,33,forest,0,100,75.0
4,34,fox,0,100,92.0
4,35,girl,0,100,78.0
4,36,hamster,0,100,94.0
4,37,house,0,100,93.0
4,38,kangaroo,0,100,95.0
4,39,keyboard,0,100,98.0
4,40,lamp,0,100,79.0
4,41,lawn mower,0,100,99.0
4,42,leopard,0,100,91.0
4,43,lion,0,100,95.0
4,44,lizard,0,100,88.0
4,45,lobster,0,100,71.0
4,46,man,0,100,77.0
4,47,maple tree,0,100,55.0
4,48,motorcycle,0,100,97.0
4,49,mountain,0,100,94.0
4,50,mouse,0,100,94.0
4,51,mushroom,0,100,95.0
4,52,oak tree,0,100,82.0
4,53,orange,0,100,100.0
4,54,orchid,0,100,92.0
4,55,otter,0,100,80.0
4,56,palm tree,0,100,96.0
4,57,pear,0,100,90.0
4,58,pickup truck,0,100,99.0
4,59,pine tree,0,100,77.0
4,60,plain,1,100,57.0
4,61,plate,1,100,71.0
4,62,poppy,1,100,93.0
4,63,porcupine,1,100,52.0
4,64,possum,1,100,63.0
4,65,rabbit,2,100,82.0
4,66,raccoon,2,100,85.0
4,67,ray,2,100,66.0
4,68,road,2,100,87.0
4,69,rocket,2,100,85.0
4,70,rose,3,100,94.0
4,71,sea,3,100,79.0
4,72,seal,3,100,51.0
4,73,shark,3,100,68.0
4,74,shrew,3,100,37.0
4,75,skunk,4,100,91.0
4,76,skyscraper,4,100,83.0
4,77,snail,4,100,89.0
4,78,snake,4,100,93.0
4,79,spider,4,100,63.0
5,0,apple,0,100,99.0
5,1,aquarium fish,0,100,99.0
5,2,baby,0,100,75.0
5,3,bear,0,100,94.0
5,4,beaver,0,100,81.0
5,5,bed,0,100,96.0
5,6,bee,0,100,89.0
5,7,beetle,0,100,80.0
5,8,bicycle,0,100,96.0
5,9,bottle,0,100,97.0
5,10,bowl,0,100,71.0
5,11,boy,0,100,80.0
5,12,bridge,0,100,88.0
5,13,bus,0,100,88.0
5,14,butterfly,0,100,87.0
5,15,camel,0,100,96.0
5,16,can,0,100,91.0
5,17,castle,0,100,90.0
5,18,caterpillar,0,100,84.0
5,19,cattle,0,100,94.0
5,20,chair,0,100,93.0
5,21,chimpanzee,0,100,100.0
5,22,clock,0,100,94.0
5,23,cloud,0,100,85.0
5,24,cockroach,0,100,94.0
5,25,couch,0,100,81.0
5,26,crab,0,100,85.0
5,27,crocodile,0,100,81.0
5,28,cup,0,100,90.0
5,29,dinosaur,0,100,93.0
5,30,dolphin,0,100,94.0
5,31,elephant,0,100,97.0
5,32,flatfish,0,100,88.0
5,33,forest,0,100,76.0
5,34,fox,0,100,92.0
5,35,girl,0,100,78.0
5,36,hamster,0,100,94.0
5,37,house,0,100,93.0
5,38,kangaroo,0,100,95.0
5,39,keyboard,0,100,98.0
5,40,lamp,0,100,80.0
5,41,lawn mower,0,100,99.0
5,42,leopard,0,100,91.0
5,43,lion,0,100,95.0
5,44,lizard,0,100,88.0
5,45,lobster,0,100,69.0
5,46,man,0,100,77.0
5,47,maple tree,0,100,55.0
5,48,motorcycle,0,100,97.0
5,49,mountain,0,100,93.0
5,50,mouse,0,100,94.0
5,51,mushroom,0,100,95.0
5,52,oak tree,0,100,83.0
5,53,orange,0,100,100.0
5,54,orchid,0,100,92.0
5,55,otter,0,100,81.0
5,56,palm tree,0,100,96.0
5,57,pear,0,100,90.0
5,58,pickup truck,0,100,99.0
5,59,pine tree,0,100,77.0
5,60,plain,1,100,57.0
5,61,plate,1,100,71.0
5,62,poppy,1,100,93.0
5,63,porcupine,1,100,52.0
5,64,possum,1,100,64.0
5,65,rabbit,2,100,83.0
5,66,raccoon,2,100,86.0
5,67,ray,2,100,65.0
5,68,road,2,100,88.0
5,69,rocket,2,100,85.0
5,70,rose,3,100,94.0
5,71,sea,3,100,80.0
5,72,seal,3,100,51.0
5,73,shark,3,100,69.0
5,74,shrew,3,100,37.0
5,75,skunk,4,100,90.0
5,76,skyscraper,4,100,82.0
5,77,snail,4,100,86.0
5,78,snake,4,100,94.0
5,79,spider,4,100,62.0
5,80,squirrel,5,100,69.0
5,81,streetcar,5,100,80.0
5,82,sunflower,5,100,98.0
5,83,sweet pepper,5,100,91.0
5,84,table,5,100,75.0
6,0,apple,0,100,99.0
6,1,aquarium fish,0,100,99.0
